,Umbos,Umbos,
Taxon,DA,LA,
Anomia simplex,262,0,1000
Anadara notabilis,200,0,1000
Nuculana acuta,165,178,1000
Timoclea grus,88,6,1000
Anadara transversa,56,2,1000
Chione elevata,45,2,1000
Parvilucina crenella,30,30,1000
Radiolucina amianta,30,32,1000
Caryocorbula dietziana,28,4,1000
Caryocorbula contracta,25,4,1000
tellin sp. A,19,0,1000
Caryocorbula caribaea,19,36,1000
Argopecten gibbus,18,0,1000
Nucula proxima,16,16,1000
Gouldia cerina,16,8,1000
Varicorbula disparilis,16,0,1000
Laevicardium pictum,15,0,1000
Abra aequalis,15,56,1000
Angulus versicolor,14,50,1000
Dosinia elegans,11,0,1000
Lyonsia floridana,11,0,1000
Pitar simpsoni,9,0,1000
Merisca aequistriata,8,8,1000
Eurytellina nitens,5,4,1000
Angulus sybariticus,4,0,1000
Semele bellastriata,4,2,1000
Cyclinella tenuis,4,0,1000
Lirophora latilirata,3,0,1000
oyster sp. A,2,0,1000